CustomerName,CustomerEmail,TotalSpent,TotalOrders,AverageOrderValue
Customer 296,customer296@example.com,2254,10,225.4
Customer 261,customer261@example.com,2253,7,321.8571
Customer 727,customer727@example.com,2248,9,249.7777
Customer 454,customer454@example.com,2236,9,248.4444
Customer 493,customer493@example.com,2231,7,318.7142
Customer 635,customer635@example.com,2231,7,318.7142
Customer 223,customer223@example.com,2223,6,370.5
Customer 658,customer658@example.com,2215,8,276.875
Customer 931,customer931@example.com,2215,8,276.875
Customer 763,customer763@example.com,2210,6,368.3333
Customer 824,customer824@example.com,2209,8,276.125
Customer 845,customer845@example.com,2204,8,275.5
Customer 619,customer619@example.com,2201,10,220.1
Customer 707,customer707@example.com,2197,5,439.4
Customer 640,customer640@example.com,2193,7,313.2857
Customer 741,customer741@example.com,2193,8,274.125
Customer 433,customer433@example.com,2191,6,365.1666
Customer 308,customer308@example.com,2185,9,242.7777
Customer 970,customer970@example.com,2184,6,364
Customer 119,customer119@example.com,2182,9,242.4444
Customer 515,customer515@example.com,2181,7,311.5714
Customer 402,customer402@example.com,2176,8,272
Customer 942,customer942@example.com,2159,9,239.8888
Customer 983,customer983@example.com,2153,6,358.8333
Customer 453,customer453@example.com,2153,8,269.125
Customer 599,customer599@example.com,2153,8,269.125
Customer 799,customer799@example.com,2151,7,307.2857
Customer 423,customer423@example.com,2145,10,214.5
Customer 100,customer100@example.com,2139,7,305.5714
Customer 943,customer943@example.com,2139,6,356.5
Customer 470,customer470@example.com,2137,8,267.125
Customer 317,customer317@example.com,2136,9,237.3333
Customer 897,customer897@example.com,2136,7,305.1428
Customer 482,customer482@example.com,2133,8,266.625
Customer 471,customer471@example.com,2127,8,265.875
Customer 486,customer486@example.com,2119,10,211.9
Customer 425,customer425@example.com,2117,9,235.2222
Customer 905,customer905@example.com,2115,9,235
Customer 850,customer850@example.com,2108,10,210.8
Customer 437,customer437@example.com,2105,8,263.125
Customer 173,customer173@example.com,2104,6,350.6666
Customer 715,customer715@example.com,2100,6,350
Customer 823,customer823@example.com,2099,6,349.8333
Customer 808,customer808@example.com,2097,8,262.125
Customer 860,customer860@example.com,2095,9,232.7777
Customer 140,customer140@example.com,2090,7,298.5714
Customer 944,customer944@example.com,2084,7,297.7142
Customer 648,customer648@example.com,2082,6,347
Customer 224,customer224@example.com,2079,11,189
Customer 434,customer434@example.com,2078,8,259.75
Customer 550,customer550@example.com,2075,6,345.8333
Customer 397,customer397@example.com,2074,7,296.2857
Customer 688,customer688@example.com,2070,5,414
Customer 854,customer854@example.com,2069,8,258.625
Customer 55,customer55@example.com,2064,7,294.8571
Customer 177,customer177@example.com,2064,7,294.8571
Customer 752,customer752@example.com,2061,8,257.625
Customer 307,customer307@example.com,2059,5,411.8
Customer 511,customer511@example.com,2059,7,294.1428
Customer 142,customer142@example.com,2051,10,205.1
Customer 43,customer43@example.com,2043,7,291.8571
Customer 822,customer822@example.com,2032,7,290.2857
Customer 829,customer829@example.com,2027,6,337.8333
Customer 338,customer338@example.com,2019,7,288.4285
Customer 244,customer244@example.com,2016,9,224
Customer 603,customer603@example.com,2007,12,167.25
Customer 765,customer765@example.com,2003,7,286.1428
Customer 697,customer697@example.com,2003,8,250.375
Customer 304,customer304@example.com,2001,7,285.8571
Customer 14,customer14@example.com,1997,6,332.8333
Customer 15,customer15@example.com,1996,8,249.5
Customer 555,customer555@example.com,1987,5,397.4
Customer 159,customer159@example.com,1984,5,396.8
Customer 309,customer309@example.com,1981,9,220.1111
Customer 258,customer258@example.com,1981,7,283
Customer 627,customer627@example.com,1979,7,282.7142
Customer 146,customer146@example.com,1976,7,282.2857
Customer 357,customer357@example.com,1970,8,246.25
Customer 492,customer492@example.com,1969,8,246.125
Customer 967,customer967@example.com,1963,7,280.4285
Customer 794,customer794@example.com,1962,9,218
Customer 540,customer540@example.com,1962,10,196.2
Customer 262,customer262@example.com,1960,8,245
Customer 331,customer331@example.com,1955,7,279.2857
Customer 472,customer472@example.com,1941,7,277.2857
Customer 481,customer481@example.com,1934,6,322.3333
Customer 24,customer24@example.com,1931,7,275.8571
Customer 313,customer313@example.com,1930,6,321.6666
Customer 774,customer774@example.com,1930,7,275.7142
Customer 214,customer214@example.com,1928,8,241
Customer 96,customer96@example.com,1924,7,274.8571
Customer 88,customer88@example.com,1922,7,274.5714
Customer 720,customer720@example.com,1921,6,320.1666
Customer 632,customer632@example.com,1919,5,383.8
Customer 625,customer625@example.com,1911,8,238.875
Customer 591,customer591@example.com,1909,8,238.625
Customer 863,customer863@example.com,1908,7,272.5714
Customer 779,customer779@example.com,1900,10,190
Customer 629,customer629@example.com,1900,6,316.6666
Customer 7,customer7@example.com,1895,7,270.7142
Customer 962,customer962@example.com,1895,7,270.7142
Customer 992,customer992@example.com,1887,6,314.5
Customer 321,customer321@example.com,1887,7,269.5714
Customer 469,customer469@example.com,1883,5,376.6
Customer 94,customer94@example.com,1883,5,376.6
Customer 997,customer997@example.com,1882,7,268.8571
Customer 314,customer314@example.com,1882,6,313.6666
Customer 672,customer672@example.com,1881,7,268.7142
Customer 951,customer951@example.com,1879,6,313.1666
Customer 315,customer315@example.com,1877,7,268.1428
Customer 766,customer766@example.com,1876,6,312.6666
Customer 465,customer465@example.com,1869,6,311.5
Customer 602,customer602@example.com,1865,5,373
Customer 792,customer792@example.com,1862,9,206.8888
Customer 718,customer718@example.com,1861,7,265.8571
Customer 825,customer825@example.com,1859,5,371.8
Customer 394,customer394@example.com,1855,10,185.5
Customer 647,customer647@example.com,1852,5,370.4
Customer 534,customer534@example.com,1848,9,205.3333
Customer 130,customer130@example.com,1845,7,263.5714
Customer 412,customer412@example.com,1844,6,307.3333
Customer 281,customer281@example.com,1841,8,230.125
Customer 645,customer645@example.com,1835,6,305.8333
Customer 767,customer767@example.com,1833,7,261.8571
Customer 215,customer215@example.com,1833,5,366.6
Customer 18,customer18@example.com,1832,7,261.7142
Customer 651,customer651@example.com,1831,9,203.4444
Customer 340,customer340@example.com,1830,6,305
Customer 985,customer985@example.com,1827,8,228.375
Customer 165,customer165@example.com,1826,6,304.3333
Customer 384,customer384@example.com,1820,7,260
Customer 272,customer272@example.com,1819,6,303.1666
Customer 803,customer803@example.com,1818,9,202
Customer 762,customer762@example.com,1813,7,259
Customer 383,customer383@example.com,1809,6,301.5
Customer 186,customer186@example.com,1805,8,225.625
Customer 477,customer477@example.com,1801,7,257.2857
Customer 575,customer575@example.com,1800,6,300
Customer 168,customer168@example.com,1800,8,225
Customer 973,customer973@example.com,1800,5,360
Customer 138,customer138@example.com,1797,7,256.7142
Customer 37,customer37@example.com,1797,6,299.5
Customer 653,customer653@example.com,1796,6,299.3333
Customer 320,customer320@example.com,1795,7,256.4285
Customer 812,customer812@example.com,1791,8,223.875
Customer 87,customer87@example.com,1787,8,223.375
Customer 416,customer416@example.com,1783,6,297.1666
Customer 48,customer48@example.com,1781,6,296.8333
Customer 597,customer597@example.com,1781,5,356.2
Customer 282,customer282@example.com,1779,7,254.1428
Customer 909,customer909@example.com,1779,6,296.5
Customer 828,customer828@example.com,1778,6,296.3333
Customer 989,customer989@example.com,1776,6,296
Customer 97,customer97@example.com,1771,8,221.375
Customer 912,customer912@example.com,1770,5,354
Customer 652,customer652@example.com,1765,4,441.25
Customer 684,customer684@example.com,1765,7,252.1428
Customer 4,customer4@example.com,1765,7,252.1428
Customer 435,customer435@example.com,1763,6,293.8333
Customer 673,customer673@example.com,1759,5,351.8
Customer 814,customer814@example.com,1753,5,350.6
Customer 128,customer128@example.com,1753,7,250.4285
Customer 788,customer788@example.com,1750,6,291.6666
Customer 746,customer746@example.com,1743,4,435.75
Customer 948,customer948@example.com,1742,8,217.75
Customer 939,customer939@example.com,1741,8,217.625
Customer 62,customer62@example.com,1741,6,290.1666
Customer 924,customer924@example.com,1740,9,193.3333
Customer 388,customer388@example.com,1740,5,348
Customer 147,customer147@example.com,1734,9,192.6666
Customer 781,customer781@example.com,1724,9,191.5555
Customer 902,customer902@example.com,1718,6,286.3333
Customer 868,customer868@example.com,1717,6,286.1666
Customer 132,customer132@example.com,1717,5,343.4
Customer 441,customer441@example.com,1716,7,245.1428
Customer 298,customer298@example.com,1710,7,244.2857
Customer 528,customer528@example.com,1704,5,340.8
Customer 235,customer235@example.com,1696,6,282.6666
Customer 584,customer584@example.com,1686,4,421.5
Customer 45,customer45@example.com,1684,5,336.8
Customer 478,customer478@example.com,1683,6,280.5
Customer 184,customer184@example.com,1680,5,336
Customer 28,customer28@example.com,1676,6,279.3333
Customer 451,customer451@example.com,1673,6,278.8333
Customer 373,customer373@example.com,1672,6,278.6666
Customer 274,customer274@example.com,1668,6,278
Customer 123,customer123@example.com,1668,8,208.5
Customer 81,customer81@example.com,1667,6,277.8333
Customer 480,customer480@example.com,1666,7,238
Customer 401,customer401@example.com,1660,7,237.1428
Customer 170,customer170@example.com,1651,7,235.8571
Customer 730,customer730@example.com,1647,8,205.875
Customer 661,customer661@example.com,1641,6,273.5
Customer 605,customer605@example.com,1641,6,273.5
Customer 986,customer986@example.com,1639,7,234.1428
Customer 957,customer957@example.com,1631,8,203.875
Customer 33,customer33@example.com,1629,6,271.5
Customer 86,customer86@example.com,1627,6,271.1666
Customer 938,customer938@example.com,1626,8,203.25
Customer 66,customer66@example.com,1624,5,324.8
Customer 260,customer260@example.com,1621,6,270.1666
Customer 696,customer696@example.com,1617,8,202.125
Customer 222,customer222@example.com,1613,5,322.6
Customer 598,customer598@example.com,1613,7,230.4285
Customer 259,customer259@example.com,1609,7,229.8571
Customer 69,customer69@example.com,1607,5,321.4
Customer 940,customer940@example.com,1603,6,267.1666
Customer 993,customer993@example.com,1603,8,200.375
Customer 145,customer145@example.com,1601,5,320.2
Customer 578,customer578@example.com,1594,4,398.5
Customer 547,customer547@example.com,1593,6,265.5
Customer 728,customer728@example.com,1592,7,227.4285
Customer 427,customer427@example.com,1591,5,318.2
Customer 83,customer83@example.com,1579,5,315.8
Customer 642,customer642@example.com,1578,6,263
Customer 753,customer753@example.com,1570,4,392.5
Customer 714,customer714@example.com,1569,6,261.5
Customer 143,customer143@example.com,1567,6,261.1666
Customer 380,customer380@example.com,1561,7,223
Customer 832,customer832@example.com,1560,5,312
Customer 203,customer203@example.com,1559,5,311.8
Customer 655,customer655@example.com,1557,7,222.4285
Customer 624,customer624@example.com,1555,4,388.75
Customer 713,customer713@example.com,1554,7,222
Customer 889,customer889@example.com,1554,5,310.8
Customer 548,customer548@example.com,1546,4,386.5
Customer 796,customer796@example.com,1545,5,309
Customer 544,customer544@example.com,1544,5,308.8
Customer 233,customer233@example.com,1544,4,386
Customer 543,customer543@example.com,1543,6,257.1666
Customer 873,customer873@example.com,1541,8,192.625
Customer 152,customer152@example.com,1540,7,220
Customer 583,customer583@example.com,1539,6,256.5
Customer 206,customer206@example.com,1538,5,307.6
Customer 208,customer208@example.com,1534,6,255.6666
Customer 193,customer193@example.com,1532,7,218.8571
Customer 421,customer421@example.com,1532,6,255.3333
Customer 928,customer928@example.com,1530,7,218.5714
Customer 606,customer606@example.com,1526,6,254.3333
Customer 176,customer176@example.com,1525,7,217.8571
Customer 869,customer869@example.com,1521,6,253.5
Customer 923,customer923@example.com,1519,4,379.75
Customer 649,customer649@example.com,1516,6,252.6666
Customer 196,customer196@example.com,1511,7,215.8571
Customer 326,customer326@example.com,1508,6,251.3333
Customer 759,customer759@example.com,1508,7,215.4285
Customer 188,customer188@example.com,1506,6,251
Customer 571,customer571@example.com,1504,5,300.8
Customer 500,customer500@example.com,1500,5,300
Customer 250,customer250@example.com,1500,8,187.5
Customer 391,customer391@example.com,1499,5,299.8
Customer 65,customer65@example.com,1498,5,299.6
Customer 133,customer133@example.com,1495,7,213.5714
Customer 430,customer430@example.com,1493,5,298.6
Customer 577,customer577@example.com,1493,7,213.2857
Customer 907,customer907@example.com,1491,5,298.2
Customer 974,customer974@example.com,1491,6,248.5
Customer 463,customer463@example.com,1487,6,247.8333
Customer 25,customer25@example.com,1487,6,247.8333
Customer 270,customer270@example.com,1487,5,297.4
Customer 557,customer557@example.com,1486,6,247.6666
Customer 238,customer238@example.com,1485,5,297
Customer 876,customer876@example.com,1482,5,296.4
Customer 72,customer72@example.com,1481,4,370.25
Customer 164,customer164@example.com,1481,6,246.8333
Customer 432,customer432@example.com,1481,7,211.5714
Customer 926,customer926@example.com,1476,7,210.8571
Customer 980,customer980@example.com,1474,5,294.8
Customer 187,customer187@example.com,1474,4,368.5
Customer 153,customer153@example.com,1473,6,245.5
Customer 26,customer26@example.com,1471,5,294.2
Customer 643,customer643@example.com,1471,6,245.1666
Customer 538,customer538@example.com,1468,5,293.6
Customer 446,customer446@example.com,1466,7,209.4285
Customer 178,customer178@example.com,1466,9,162.8888
Customer 959,customer959@example.com,1465,7,209.2857
Customer 979,customer979@example.com,1457,6,242.8333
Customer 22,customer22@example.com,1457,6,242.8333
Customer 68,customer68@example.com,1455,6,242.5
Customer 745,customer745@example.com,1451,5,290.2
Customer 89,customer89@example.com,1449,7,207
Customer 956,customer956@example.com,1447,5,289.4
Customer 292,customer292@example.com,1447,5,289.4
Customer 343,customer343@example.com,1447,4,361.75
Customer 998,customer998@example.com,1444,5,288.8
Customer 288,customer288@example.com,1441,7,205.8571
Customer 59,customer59@example.com,1428,5,285.6
Customer 407,customer407@example.com,1425,6,237.5
Customer 978,customer978@example.com,1425,5,285
Customer 99,customer99@example.com,1423,6,237.1666
Customer 241,customer241@example.com,1420,5,284
Customer 44,customer44@example.com,1419,5,283.8
Customer 77,customer77@example.com,1416,6,236
Customer 958,customer958@example.com,1415,6,235.8333
Customer 108,customer108@example.com,1415,7,202.1428
Customer 693,customer693@example.com,1414,5,282.8
Customer 582,customer582@example.com,1412,5,282.4
Customer 487,customer487@example.com,1411,5,282.2
Customer 361,customer361@example.com,1411,6,235.1666
Customer 327,customer327@example.com,1409,7,201.2857
Customer 353,customer353@example.com,1408,6,234.6666
Customer 286,customer286@example.com,1408,6,234.6666
Customer 419,customer419@example.com,1408,5,281.6
Customer 749,customer749@example.com,1407,6,234.5
Customer 64,customer64@example.com,1402,7,200.2857
Customer 255,customer255@example.com,1401,6,233.5
Customer 701,customer701@example.com,1399,4,349.75
Customer 776,customer776@example.com,1399,7,199.8571
Customer 498,customer498@example.com,1398,5,279.6
Customer 838,customer838@example.com,1397,4,349.25
Customer 806,customer806@example.com,1397,6,232.8333
Customer 556,customer556@example.com,1396,4,349
Customer 328,customer328@example.com,1395,6,232.5
Customer 662,customer662@example.com,1392,5,278.4
Customer 248,customer248@example.com,1391,7,198.7142
Customer 158,customer158@example.com,1391,5,278.2
Customer 601,customer601@example.com,1391,5,278.2
Customer 638,customer638@example.com,1390,7,198.5714
Customer 29,customer29@example.com,1385,6,230.8333
Customer 934,customer934@example.com,1382,5,276.4
Customer 675,customer675@example.com,1380,5,276
Customer 351,customer351@example.com,1380,8,172.5
Customer 787,customer787@example.com,1379,4,344.75
Customer 231,customer231@example.com,1369,5,273.8
Customer 199,customer199@example.com,1368,6,228
Customer 861,customer861@example.com,1367,8,170.875
Customer 981,customer981@example.com,1367,6,227.8333
Customer 801,customer801@example.com,1366,5,273.2
Customer 139,customer139@example.com,1365,5,273
Customer 362,customer362@example.com,1365,5,273
Customer 448,customer448@example.com,1363,5,272.6
Customer 34,customer34@example.com,1362,6,227
Customer 247,customer247@example.com,1361,4,340.25
Customer 637,customer637@example.com,1359,5,271.8
Customer 890,customer890@example.com,1359,4,339.75
Customer 422,customer422@example.com,1358,5,271.6
Customer 581,customer581@example.com,1356,6,226
Customer 574,customer574@example.com,1356,7,193.7142
Customer 864,customer864@example.com,1354,4,338.5
Customer 245,customer245@example.com,1350,7,192.8571
Customer 339,customer339@example.com,1349,4,337.25
Customer 703,customer703@example.com,1346,7,192.2857
Customer 395,customer395@example.com,1340,5,268
Customer 552,customer552@example.com,1339,8,167.375
Customer 36,customer36@example.com,1337,6,222.8333
Customer 191,customer191@example.com,1337,4,334.25
Customer 518,customer518@example.com,1334,5,266.8
Customer 418,customer418@example.com,1333,5,266.6
Customer 461,customer461@example.com,1331,5,266.2
Customer 364,customer364@example.com,1330,4,332.5
Customer 596,customer596@example.com,1326,4,331.5
Customer 253,customer253@example.com,1326,4,331.5
Customer 941,customer941@example.com,1325,5,265
Customer 708,customer708@example.com,1324,4,331
Customer 114,customer114@example.com,1324,5,264.8
Customer 23,customer23@example.com,1318,7,188.2857
Customer 908,customer908@example.com,1317,8,164.625
Customer 447,customer447@example.com,1316,7,188
Customer 405,customer405@example.com,1315,7,187.8571
Customer 121,customer121@example.com,1314,6,219
Customer 805,customer805@example.com,1314,7,187.7142
Customer 212,customer212@example.com,1310,5,262
Customer 885,customer885@example.com,1307,5,261.4
Customer 687,customer687@example.com,1306,5,261.2
Customer 322,customer322@example.com,1306,5,261.2
Customer 392,customer392@example.com,1304,5,260.8
Customer 379,customer379@example.com,1299,4,324.75
Customer 871,customer871@example.com,1298,4,324.5
Customer 512,customer512@example.com,1297,5,259.4
Customer 609,customer609@example.com,1296,3,432
Customer 63,customer63@example.com,1295,5,259
Customer 734,customer734@example.com,1294,4,323.5
Customer 551,customer551@example.com,1293,5,258.6
Customer 457,customer457@example.com,1293,6,215.5
Customer 580,customer580@example.com,1292,4,323
Customer 202,customer202@example.com,1290,4,322.5
Customer 914,customer914@example.com,1285,5,257
Customer 716,customer716@example.com,1282,3,427.3333
Customer 895,customer895@example.com,1278,5,255.6
Customer 295,customer295@example.com,1278,7,182.5714
Customer 226,customer226@example.com,1276,7,182.2857
Customer 285,customer285@example.com,1275,6,212.5
Customer 348,customer348@example.com,1274,4,318.5
Customer 41,customer41@example.com,1274,5,254.8
Customer 476,customer476@example.com,1270,3,423.3333
Customer 671,customer671@example.com,1270,5,254
Customer 821,customer821@example.com,1268,4,317
Customer 949,customer949@example.com,1268,4,317
Customer 724,customer724@example.com,1267,4,316.75
Customer 332,customer332@example.com,1267,5,253.4
Customer 263,customer263@example.com,1266,5,253.2
Customer 758,customer758@example.com,1262,7,180.2857
Customer 777,customer777@example.com,1261,5,252.2
Customer 729,customer729@example.com,1259,5,251.8
Customer 75,customer75@example.com,1256,5,251.2
Customer 628,customer628@example.com,1248,4,312
Customer 670,customer670@example.com,1247,4,311.75
Customer 172,customer172@example.com,1246,4,311.5
Customer 531,customer531@example.com,1246,5,249.2
Customer 721,customer721@example.com,1244,4,311
Customer 604,customer604@example.com,1239,9,137.6666
Customer 376,customer376@example.com,1237,6,206.1666
Customer 899,customer899@example.com,1236,5,247.2
Customer 291,customer291@example.com,1234,6,205.6666
Customer 151,customer151@example.com,1233,5,246.6
Customer 549,customer549@example.com,1233,7,176.1428
Customer 287,customer287@example.com,1232,5,246.4
Customer 520,customer520@example.com,1230,4,307.5
Customer 230,customer230@example.com,1229,4,307.25
Customer 495,customer495@example.com,1227,4,306.75
Customer 80,customer80@example.com,1225,5,245
Customer 318,customer318@example.com,1222,5,244.4
Customer 319,customer319@example.com,1219,5,243.8
Customer 276,customer276@example.com,1219,4,304.75
Customer 85,customer85@example.com,1218,7,174
Customer 639,customer639@example.com,1215,5,243
Customer 946,customer946@example.com,1214,4,303.5
Customer 778,customer778@example.com,1212,3,404
Customer 207,customer207@example.com,1210,4,302.5
Customer 431,customer431@example.com,1210,5,242
Customer 834,customer834@example.com,1209,4,302.25
Customer 410,customer410@example.com,1207,6,201.1666
Customer 607,customer607@example.com,1207,4,301.75
Customer 771,customer771@example.com,1204,5,240.8
Customer 622,customer622@example.com,1203,4,300.75
Customer 929,customer929@example.com,1202,5,240.4
Customer 426,customer426@example.com,1200,5,240
Customer 755,customer755@example.com,1199,5,239.8
Customer 840,customer840@example.com,1198,4,299.5
Customer 239,customer239@example.com,1198,5,239.6
Customer 355,customer355@example.com,1198,6,199.6666
Customer 113,customer113@example.com,1197,6,199.5
Customer 686,customer686@example.com,1195,5,239
Customer 900,customer900@example.com,1194,4,298.5
Customer 911,customer911@example.com,1193,5,238.6
Customer 886,customer886@example.com,1188,4,297
Customer 204,customer204@example.com,1188,6,198
Customer 21,customer21@example.com,1187,6,197.8333
Customer 791,customer791@example.com,1185,5,237
Customer 336,customer336@example.com,1184,3,394.6666
Customer 242,customer242@example.com,1184,4,296
Customer 621,customer621@example.com,1183,5,236.6
Customer 813,customer813@example.com,1182,4,295.5
Customer 38,customer38@example.com,1180,6,196.6666
Customer 490,customer490@example.com,1180,5,236
Customer 872,customer872@example.com,1179,4,294.75
Customer 851,customer851@example.com,1177,4,294.25
Customer 329,customer329@example.com,1175,5,235
Customer 6,customer6@example.com,1174,4,293.5
Customer 568,customer568@example.com,1172,4,293
Customer 807,customer807@example.com,1169,7,167
Customer 160,customer160@example.com,1166,4,291.5
Customer 341,customer341@example.com,1165,4,291.25
Customer 802,customer802@example.com,1163,5,232.6
Customer 593,customer593@example.com,1161,6,193.5
Customer 400,customer400@example.com,1154,6,192.3333
Customer 725,customer725@example.com,1154,5,230.8
Customer 52,customer52@example.com,1153,4,288.25
Customer 243,customer243@example.com,1152,4,288
Customer 827,customer827@example.com,1152,5,230.4
Customer 650,customer650@example.com,1151,6,191.8333
Customer 127,customer127@example.com,1151,3,383.6666
Customer 111,customer111@example.com,1147,4,286.75
Customer 764,customer764@example.com,1146,5,229.2
Customer 916,customer916@example.com,1145,5,229
Customer 563,customer563@example.com,1144,7,163.4285
Customer 363,customer363@example.com,1143,4,285.75
Customer 474,customer474@example.com,1142,4,285.5
Customer 530,customer530@example.com,1142,3,380.6666
Customer 162,customer162@example.com,1142,4,285.5
Customer 299,customer299@example.com,1142,5,228.4
Customer 443,customer443@example.com,1141,4,285.25
Customer 251,customer251@example.com,1136,3,378.6666
Customer 982,customer982@example.com,1135,6,189.1666
Customer 680,customer680@example.com,1134,5,226.8
Customer 3,customer3@example.com,1132,5,226.4
Customer 58,customer58@example.com,1129,5,225.8
Customer 8,customer8@example.com,1129,4,282.25
Customer 659,customer659@example.com,1127,5,225.4
Customer 200,customer200@example.com,1127,5,225.4
Customer 78,customer78@example.com,1122,3,374
Customer 167,customer167@example.com,1118,4,279.5
Customer 915,customer915@example.com,1109,4,277.25
Customer 220,customer220@example.com,1108,6,184.6666
Customer 221,customer221@example.com,1108,5,221.6
Customer 922,customer922@example.com,1105,4,276.25
Customer 633,customer633@example.com,1105,3,368.3333
Customer 917,customer917@example.com,1102,7,157.4285
Customer 874,customer874@example.com,1101,4,275.25
Customer 174,customer174@example.com,1101,5,220.2
Customer 562,customer562@example.com,1100,4,275
Customer 369,customer369@example.com,1100,4,275
Customer 305,customer305@example.com,1099,4,274.75
Customer 786,customer786@example.com,1099,3,366.3333
Customer 5,customer5@example.com,1098,4,274.5
Customer 853,customer853@example.com,1095,4,273.75
Customer 532,customer532@example.com,1094,6,182.3333
Customer 11,customer11@example.com,1093,4,273.25
Customer 754,customer754@example.com,1093,3,364.3333
Customer 271,customer271@example.com,1088,7,155.4285
Customer 198,customer198@example.com,1086,3,362
Customer 506,customer506@example.com,1082,3,360.6666
Customer 585,customer585@example.com,1082,3,360.6666
Customer 927,customer927@example.com,1081,5,216.2
Customer 523,customer523@example.com,1080,4,270
Customer 445,customer445@example.com,1080,3,360
Customer 594,customer594@example.com,1079,4,269.75
Customer 919,customer919@example.com,1079,5,215.8
Customer 378,customer378@example.com,1077,5,215.4
Customer 17,customer17@example.com,1076,5,215.2
Customer 877,customer877@example.com,1076,4,269
Customer 810,customer810@example.com,1075,4,268.75
Customer 455,customer455@example.com,1073,3,357.6666
Customer 961,customer961@example.com,1072,4,268
Customer 843,customer843@example.com,1070,5,214
Customer 189,customer189@example.com,1068,7,152.5714
Customer 115,customer115@example.com,1068,5,213.6
Customer 102,customer102@example.com,1067,5,213.4
Customer 459,customer459@example.com,1067,3,355.6666
Customer 903,customer903@example.com,1063,4,265.75
Customer 855,customer855@example.com,1061,4,265.25
Customer 475,customer475@example.com,1061,6,176.8333
Customer 169,customer169@example.com,1059,3,353
